cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,265,1,29623696.59,100000006866783100|100000000661912100|100000008477350100|100000004759121100|100000000437046100,"Доминирующая роль — terminal (120 из 265); размер 265, seed 1, внутренний оборот 29623697 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
1,166,8,22599859.56,100000003016635100|100000004156082100|100000005339662100|100000000706545100|100000006518161100,"Доминирующая роль — terminal (94 из 166); размер 166, seed 8, внутренний оборот 22599860 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
2,151,5,19360639.0,100000003684369100|100000008165763100|100000007908818100|100000003528285100|100000008748914100,"Доминирующая роль — terminal (94 из 151); размер 151, seed 5, внутренний оборот 19360639 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
3,150,1,5518694.0,100000002527114100|100000001697501100|100000002733905100|100000001166289100|100000005342513100,"Доминирующая роль — terminal (140 из 150); размер 150, seed 1, внутренний оборот 5518694 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
4,134,1,26049950.33,100000000331309100|100000003796063100|100000008324800100|100000006274203100|100000000332284100,"Доминирующая роль — terminal (60 из 134); размер 134, seed 1, внутренний оборот 26049950 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
5,121,4,19946834.02,100000001616816100|100000004015047100|100000005514161100|100000001677929100|100000002870463100,"Доминирующая роль — terminal (67 из 121); размер 121, seed 4, внутренний оборот 19946834 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
6,120,0,4465650.0,100000002578405100|100000002214383100|100000008778010100|100000008745676100|100000005685783100,"Доминирующая роль — terminal (110 из 120); размер 120, seed 0, внутренний оборот 4465650 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
7,106,0,6254194.67,100000005704413100|100000005473151100|100000005578559100|100000008104567100|100000007998965100,"Доминирующая роль — peripheral (57 из 106); размер 106, seed 0, внутренний оборот 6254195 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
8,104,0,11039673.0,100000008603629100|100000001857829100|100000005140601100|100000004217419100|100000004679953100,"Доминирующая роль — peripheral (48 из 104); размер 104, seed 0, внутренний оборот 11039673 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
9,74,0,16548311.0,100000008489922100|100000008547948100|100000008710791100|100000004997515100|100000002849158100,"Доминирующая роль — peripheral (36 из 74); размер 74, seed 0, внутренний оборот 16548311 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
10,56,3,13397542.0,100000008637537100|100000001732159100|100000005413948100|100000008466579100|100000008547844100,"Доминирующая роль — terminal (23 из 56); размер 56, seed 3, внутренний оборот 13397542 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
11,53,1,3021863.0,100000001899164100|100000002193259100|100000000933075100|100000004386258100|100000004692798100,"Доминирующая роль — terminal (26 из 53); размер 53, seed 1, внутренний оборот 3021863 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
12,53,1,5947339.0,100000000343175100|100000003115284100|100000003635170100|100000003390036100|100000004677680100,"Доминирующая роль — terminal (24 из 53); размер 53, seed 1, внутренний оборот 5947339 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
13,51,0,13990812.0,100000008512827100|100000005242320100|100000002308091100|100000001282143100|100000002956769100,"Доминирующая роль — terminal (31 из 51); размер 51, seed 0, внутренний оборот 13990812 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
14,50,3,4135421.0,100000005074393100|100000006424479100|100000008346837100|100000001236706100|100000008733194100,"Доминирующая роль — terminal (16 из 50); размер 50, seed 3, внутренний оборот 4135421 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
15,44,0,10215968.84,100000005933757100|100000001937767100|100000004159526100|100000002963189100|100000001073568100,"Доминирующая роль — terminal (26 из 44); размер 44, seed 0, внутренний оборот 10215969 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
16,41,0,5151924.19,100000003242289100|100000008512552100|100000008413748100|100000002713074100|100000003178549100,"Доминирующая роль — terminal (18 из 41); размер 41, seed 0, внутренний оборот 5151924 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
17,31,0,8282505.0,100000001887715100|100000008743913100|100000002748532100|100000001141268100|100000008758168100,"Доминирующая роль — terminal (13 из 31); размер 31, seed 0, внутренний оборот 8282505 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
18,30,1,4579928.59,100000002838861100|100000006443391100|100000003071930100|100000000190228100|100000006385877100,"Доминирующая роль — terminal (20 из 30); размер 30, seed 1, внутренний оборот 4579929 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
19,26,0,2990118.0,100000008546855100|100000003854444100|100000007689942100|100000008647905100|100000001049200100,"Доминирующая роль — terminal (12 из 26); размер 26, seed 0, внутренний оборот 2990118 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
20,26,14,2289450.0,100000004041163100|100000005382566100|100000004403675100|100000005386383100|100000005523088100,"Доминирующая роль — peripheral (8 из 26); размер 26, seed 14, внутренний оборот 2289450 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
21,25,0,5089597.0,100000005527892100|100000008343874100|100000006977207100|100000002531406100|100000000724540100,"Доминирующая роль — terminal (11 из 25); размер 25, seed 0, внутренний оборот 5089597 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
22,20,0,617900.0,100000003154105100|100000001427082100|100000000723383100|100000002448088100|100000002185328100,"Доминирующая роль — peripheral (15 из 20); размер 20, seed 0, внутренний оборот 617900 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
23,18,0,3422800.0,100000003701161100|100000002267998100|100000003718221100|100000008137435100|100000003104347100,"Доминирующая роль — terminal (9 из 18); размер 18, seed 0, внутренний оборот 3422800 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
24,17,1,21586840.0,100000002224132100|100000004892144100|100000004603109100|100000001965374100|100000005664922100,"Доминирующая роль — peripheral (6 из 17); размер 17, seed 1, внутренний оборот 21586840 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
25,17,1,2977887.0,100000004007116100|100000001330595100|100000002731501100|100000003616818100|100000004144536100,"Доминирующая роль — terminal (7 из 17); размер 17, seed 1, внутренний оборот 2977887 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
26,15,0,850450.0,100000001526235100|100000002472632100|100000005505655100|100000001788284100|100000000860514100,"Доминирующая роль — peripheral (7 из 15); размер 15, seed 0, внутренний оборот 850450 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
27,15,0,3626010.0,100000008461532100|100000000791285100|100000006704530100|100000003470579100|100000003122817100,"Доминирующая роль — peripheral (6 из 15); размер 15, seed 0, внутренний оборот 3626010 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
28,14,0,1605604.0,100000007382543100|100000008213966100|100000000838385100|100000003001661100|100000008655779100,"Доминирующая роль — peripheral (7 из 14); размер 14, seed 0, внутренний оборот 1605604 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
29,13,1,1392916.0,100000006232815100|100000001380054100|100000003164661100|100000004463277100|100000004192865100,"Доминирующая роль — terminal (6 из 13); размер 13, seed 1, внутренний оборот 1392916 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
30,13,0,6748650.0,100000008258083100|100000007442518100|100000000673868100|100000000821507100|100000004673335100,"Доминирующая роль — terminal (8 из 13); размер 13, seed 0, внутренний оборот 6748650 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
31,11,0,3784703.0,100000002175422100|100000003557488100|100000003004487100|100000001317336100|100000002710570100,"Доминирующая роль — peripheral (4 из 11); размер 11, seed 0, внутренний оборот 3784703 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
32,10,0,1929434.85,100000002741024100|100000007629096100|100000007639767100|100000001439416100|100000007511780100,"Доминирующая роль — terminal (4 из 10); размер 10, seed 0, внутренний оборот 1929435 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
33,10,0,322010.0,100000008172352100|100000007322059100|100000004552204100|100000000993112100|100000003646145100,"Доминирующая роль — terminal (5 из 10); размер 10, seed 0, внутренний оборот 322010 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
34,9,0,1406982.0,100000002217161100|100000001445848100|100000007647294100|100000002242066100|100000008254576100,"Доминирующая роль — terminal (5 из 9); размер 9, seed 0, внутренний оборот 1406982 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
35,8,0,2473417.91,100000008175078100|100000004906181100|100000008675322100|100000000557536100|100000008349740100,"Доминирующая роль — peripheral (7 из 8); размер 8, seed 0, внутренний оборот 2473418 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
36,8,0,389000.0,100000005507142100|100000002612809100|100000002214207100|100000000600707100|100000004066370100,"Доминирующая роль — peripheral (6 из 8); размер 8, seed 0, внутренний оборот 389000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
37,7,0,143000.0,100000005911352100|100000004508696100|100000002217806100|100000004549591100|100000003962994100,"Доминирующая роль — distributor (2 из 7); размер 7, seed 0, внутренний оборот 143000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
38,7,0,3077000.0,100000002241986100|100000001053894100|100000002594214100|100000004047887100|100000001286703100,"Доминирующая роль — peripheral (6 из 7); размер 7, seed 0, внутренний оборот 3077000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
39,7,0,1765600.0,100000007865484100|100000007392365100|100000008551752100|100000003631015100|100000004976946100,"Доминирующая роль — peripheral (6 из 7); размер 7, seed 0, внутренний оборот 1765600 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
40,7,0,1268308.0,100000008011159100|100000006169033100|100000006232642100|100000003664994100|100000005754335100,"Доминирующая роль — terminal (3 из 7); размер 7, seed 0, внутренний оборот 1268308 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
41,6,1,1615030.0,100000008659445100|100000008736940100|100000008193577100|100000008751429100|100000005456919100,"Доминирующая роль — distributor (2 из 6); размер 6, seed 1, внутренний оборот 1615030 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
42,6,1,1527967.0,100000000580561100|100000007939160100|100000005183943100|100000007930878100|100000000955444100,"Доминирующая роль — terminal (3 из 6); размер 6, seed 1, внутренний оборот 1527967 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
43,6,0,2540000.0,100000004717647100|100000004479404100|100000002922000100|100000002659103100|100000001533161100,"Доминирующая роль — peripheral (4 из 6); размер 6, seed 0, внутренний оборот 2540000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
44,6,1,275885.0,100000005895525100|100000002462183100|100000005485830100|100000007175718100|100000005056870100,"Доминирующая роль — terminal (5 из 6); размер 6, seed 1, внутренний оборот 275885 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
45,6,0,2534500.0,100000004722765100|100000003747133100|100000005075949100|100000002578653100|100000006527156100,"Доминирующая роль — peripheral (3 из 6); размер 6, seed 0, внутренний оборот 2534500 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
46,6,0,1563065.0,100000004017410100|100000005519998100|100000004336312100|100000005767403100|100000003934614100,"Доминирующая роль — consolidator (2 из 6); размер 6, seed 0, внутренний оборот 1563065 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
47,6,1,383300.0,100000005547096100|100000005546031100|100000004331458100|100000004094958100|100000005363908100,"Доминирующая роль — transit (2 из 6); размер 6, seed 1, внутренний оборот 383300 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
48,5,0,1189154.0,100000000291906100|100000000291908100|100000004670388100|100000004722630100|100000004691350100,"Доминирующая роль — coordinator (2 из 5); размер 5, seed 0, внутренний оборот 1189154 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
49,5,0,172000.0,100000004659919100|100000005031696100|100000002700161100|100000001223977100|100000008461217100,"Доминирующая роль — coordinator (3 из 5); размер 5, seed 0, внутренний оборот 172000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
50,5,0,338950.0,100000008190411100|100000004715209100|100000003133045100|100000004747154100|100000001498732100,"Доминирующая роль — peripheral (4 из 5); размер 5, seed 0, внутренний оборот 338950 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
51,5,1,2809200.0,100000008571433100|100000004135268100|100000004979498100|100000007507343100|100000002738256100,"Доминирующая роль — coordinator (1 из 5); размер 5, seed 1, внутренний оборот 2809200 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
52,5,2,108007.0,100000006562026100|100000007347733100|100000006249740100|100000008129393100|100000006831291100,"Доминирующая роль — terminal (3 из 5); размер 5, seed 2, внутренний оборот 108007 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
53,4,0,518000.0,100000002205022100|100000003163886100|100000000629812100|100000001380107100,"Доминирующая роль — terminal (3 из 4); размер 4, seed 0, внутренний оборот 518000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
54,4,1,1404980.0,100000008601794100|100000001872484100|100000000785800100|100000002459163100,"Доминирующая роль — consolidator (1 из 4); размер 4, seed 1, внутренний оборот 1404980 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
55,4,0,1595700.0,100000001052945100|100000001131403100|100000004616845100|100000005146665100,"Доминирующая роль — peripheral (3 из 4); размер 4, seed 0, внутренний оборот 1595700 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
56,4,0,832800.0,100000008625905100|100000003159641100|100000001065234100|100000002194320100,"Доминирующая роль — peripheral (2 из 4); размер 4, seed 0, внутренний оборот 832800 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
57,4,1,79050.0,100000003148220100|100000006888238100|100000004971871100|100000001852140100,"Доминирующая роль — peripheral (3 из 4); размер 4, seed 1, внутренний оборот 79050 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
58,4,0,332709.0,100000002513028100|100000004610802100|100000002516862100|100000004780083100,"Доминирующая роль — peripheral (3 из 4); размер 4, seed 0, внутренний оборот 332709 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
59,4,2,1499679.0,100000008418835100|100000008730021100|100000008701944100|100000004269433100,"Доминирующая роль — terminal (2 из 4); размер 4, seed 2, внутренний оборот 1499679 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
60,3,1,450000.0,100000000769919100|100000002371751100|100000007018630100,"Доминирующая роль — peripheral (1 из 3); размер 3, seed 1, внутренний оборот 450000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
61,3,0,120000.0,100000002505277100|100000001733216100|100000003221510100,"Доминирующая роль — peripheral (2 из 3); размер 3, seed 0, внутренний оборот 120000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
62,3,0,553830.0,100000003321895100|100000003692843100|100000002371892100,"Доминирующая роль — peripheral (2 из 3); размер 3, seed 0, внутренний оборот 553830 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
63,3,1,390167.62,100000002781227100|100000002796853100|100000008522127100,"Доминирующая роль — peripheral (2 из 3); размер 3, seed 1, внутренний оборот 390168 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
64,3,0,1557988.0,100000008258458100|100000004035925100|100000008619159100,"Доминирующая роль — peripheral (2 из 3); размер 3, seed 0, внутренний оборот 1557988 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
65,3,1,450816.0,100000005034574100|100000007283257100|100000004388983100,"Доминирующая роль — terminal (2 из 3); размер 3, seed 1, внутренний оборот 450816 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
66,3,0,627870.0,100000008628231100|100000004666651100|100000005664632100,"Доминирующая роль — terminal (2 из 3); размер 3, seed 0, внутренний оборот 627870 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
67,2,0,761255.0,100000000583220100|100000004586598100,"Доминирующая роль — coordinator (1 из 2); размер 2, seed 0, внутренний оборот 761255 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
