gid,role,role_score,cluster_id,priority_score,evidence
100000000343175100,distributor,0.896797153024911,12,0.9468522447303584,"Признаки распределения средств: вход: 8 контр., 14 пер., 178712 KZT; выход: 31 контр., 33 пер., 4000039 KZT."
100000000456947100,peripheral,0.35,72,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000000580561100,distributor,0.8599644128113879,42,0.8833513550506433,"Признаки распределения средств: вход: 2 контр., 3 пер., 27980 KZT; выход: 3 контр., 13 пер., 1488077 KZT."
100000001415126100,terminal,0.6346641459074733,20,0.5966192170818506,"Вероятный конечный получатель в наблюдаемом графе: вход: 1 контр., 1 пер., 27000 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000001429930100,terminal,0.6346641459074733,14,0.5617797016151108,"Вероятный конечный получатель в наблюдаемом графе: вход: 1 контр., 1 пер., 26000 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000001616816100,consolidator,0.8915925266903915,5,0.9459714618122089,"Признаки аккумуляции средств: вход: 5 контр., 12 пер., 176195 KZT; выход: 3 контр., 10 пер., 181326 KZT."
100000001732159100,distributor,0.8705738434163701,10,0.930074596222283,"Признаки распределения средств: вход: 2 контр., 30 пер., 2378100 KZT; выход: 4 контр., 23 пер., 1505966 KZT."
100000002527114100,distributor,0.899799822064057,3,0.9572741582261154,"Признаки распределения средств: вход: 3 контр., 4 пер., 129000 KZT; выход: 111 контр., 113 пер., 3289249 KZT."
100000002916006100,peripheral,0.44835409252669034,20,0.329904359430605,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 1 контр., 1 пер., 32000 KZT."
100000003016635100,distributor,0.8991992882562277,1,0.9753428688748971,"Признаки распределения средств: вход: 8 контр., 36 пер., 586981 KZT; выход: 73 контр., 151 пер., 9414081 KZT."
100000003200071100,peripheral,0.4424822064056939,68,0.2890872228305503,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 1 контр., 1 пер., 30000 KZT."
100000003265658100,peripheral,0.35,73,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000003349739100,peripheral,0.35,74,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000003684369100,distributor,0.8987989323843417,2,0.9827764850807554,"Признаки распределения средств: вход: 24 контр., 58 пер., 3848436 KZT; выход: 62 контр., 67 пер., 8588655 KZT."
100000003770083100,peripheral,0.35,75,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000003975102100,peripheral,0.5322953736654804,1,0.6746622638926909,"Слабо выраженная роль в наблюдаемом графе: вход: 1 контр., 1 пер., 25650 KZT; выход: 2 контр., 2 пер., 88500 KZT."
100000003977183100,distributor,0.8705738434163701,5,0.7119323159047357,"Признаки распределения средств: вход: 2 контр., 2 пер., 123800 KZT; выход: 4 контр., 6 пер., 766000 KZT."
100000004007116100,distributor,0.8705738434163701,25,0.8069590062961948,"Признаки распределения средств: вход: 3 контр., 24 пер., 764704 KZT; выход: 4 контр., 6 пер., 148000 KZT."
100000004019124100,terminal,0.8711743772241993,1,0.7766729400492747,"Вероятный конечный получатель в наблюдаемом графе: вход: 3 контр., 3 пер., 193000 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000004021459100,peripheral,0.35,76,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000004041163100,coordinator,0.7849088078291815,20,0.9368772241992882,"Структурно значимый посредник, рекомендуется проверка: вход: 1 контр., 1 пер., 50000 KZT; выход: 2 контр., 6 пер., 866000 KZT."
100000004174835100,peripheral,0.35,77,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000004193835100,peripheral,0.4829848754448398,1,0.696339310156036,"Слабо выраженная роль в наблюдаемом графе: вход: 1 контр., 1 пер., 47000 KZT; выход: 1 контр., 1 пер., 5000 KZT."
100000004269433100,peripheral,0.6339857651245551,59,0.3884555502326855,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 1 контр., 67 пер., 1372000 KZT."
100000004358004100,distributor,0.8889902135231318,2,0.5189263961127841,"Признаки распределения средств: вход: 0 контр., 0 пер., 0 KZT; выход: 11 контр., 17 пер., 980850 KZT."
100000004388983100,peripheral,0.6035587188612099,65,0.37700331918970714,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 2 контр., 23 пер., 450816 KZT."
100000004714705100,peripheral,0.45556049822064054,20,0.3332673487544484,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 1 контр., 1 пер., 36550 KZT."
100000004723755100,peripheral,0.5199510676156583,2,0.3767778196003285,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 1 контр., 5 пер., 95000 KZT."
100000004813068100,distributor,0.8599644128113879,24,0.47559557213249387,"Признаки распределения средств: вход: 0 контр., 0 пер., 0 KZT; выход: 3 контр., 5 пер., 297000 KZT."
100000004971871100,peripheral,0.44608540925266904,57,0.6321855324390911,"Слабо выраженная роль в наблюдаемом графе: вход: 1 контр., 3 пер., 25400 KZT; выход: 1 контр., 1 пер., 5650 KZT."
100000005017150100,peripheral,0.35,78,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000005087431100,peripheral,0.35,79,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000005235389100,peripheral,0.35,80,0.2072852792225568,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000005264990100,coordinator,0.81293371886121,20,0.7956717081850534,"Структурно значимый посредник, рекомендуется проверка: вход: 1 контр., 1 пер., 17070 KZT; выход: 2 контр., 2 пер., 122000 KZT."
100000005370580100,terminal,0.6346641459074733,14,0.5552138653161786,"Вероятный конечный получатель в наблюдаемом графе: вход: 1 контр., 1 пер., 24075 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000005382566100,consolidator,0.8961966192170818,20,0.9279048042704626,"Признаки аккумуляции средств: вход: 7 контр., 11 пер., 393066 KZT; выход: 1 контр., 1 пер., 50000 KZT."
100000005386383100,consolidator,0.835442615658363,20,0.7961521352313168,"Признаки аккумуляции средств: вход: 2 контр., 2 пер., 37500 KZT; выход: 1 контр., 1 пер., 29000 KZT."
100000005392290100,peripheral,0.5075400355871886,69,0.31944754311524776,"Слабо выраженная роль в наблюдаемом графе: вход: 0 контр., 0 пер., 0 KZT; выход: 1 контр., 1 пер., 81465 KZT."
100000005395727100,terminal,0.6346641459074733,1,0.5735012318642211,"Вероятный конечный получатель в наблюдаемом графе: вход: 1 контр., 1 пер., 17000 KZT; выход: 0 контр., 0 пер., 0 KZT."
100000005409680100,terminal,0.835442615658363,4,0.7110245004106215,"Вероятный конечный получатель в наблюдаемом графе: вход: 2 контр., 2 пер., 55060 KZT; выход: 0 контр., 0 пер., 0 KZT."
